source_lat,source_lon,poi_name,poi_lat,poi_lon,distance,bearing,side,all_types,shared_with
10.742,106.69762,"Q7, 26 Đ. Số 10",10.7420095,106.6976223,1.0858241517858525,13.379888852055956,Left,"other,point","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.742,106.69762,27 Đường số 10,10.7419934,106.6975869,3.6897761837165337,258.52751960733406,Right,"point,other","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.742,106.69762,29 Đường số 10,10.7419934,106.6975869,3.6897761837165337,258.52751960733406,Right,"point,other","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741974054054054,106.6976154054054,"Q7, 26 Đ. Số 10",10.7420095,106.6976223,4.012733790787342,10.818871869643715,Left,"other,point","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741974054054054,106.6976154054054,27 Đường số 10,10.7419934,106.6975869,3.7848693820707853,304.6359944999948,Right,"point,other","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741974054054054,106.6976154054054,29 Đường số 10,10.7419934,106.6975869,3.7848693820707853,304.6359944999948,Right,"point,other","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741948108108108,106.69761081081081,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,106.6976409,8.378463138710165,156.90033686543734,Left,"establishment,other,point","10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622; 10.741896216216217, 106.69760162162163; 10.74187027027027, 106.69759702702703; 10.741844324324324, 106.69759243243243; 10.74181837837838, 106.69758783783784"
10.741948108108108,106.69761081081081,"Q7, 11 Đ. số 5",10.7418784,106.6976436,8.538873915966347,155.19664633217428,Left,"other,point","10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622; 10.741896216216217, 106.69760162162163; 10.74187027027027, 106.69759702702703; 10.741844324324324, 106.69759243243243; 10.74181837837838, 106.69758783783784"
10.741948108108108,106.69761081081081,"Q7, 26 Đ. Số 10",10.7420095,106.6976223,6.940897532917646,10.418360120101283,Left,"other,point","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741948108108108,106.69761081081081,27 Đường số 10,10.7419934,106.6975869,5.673361548867876,332.585323064106,Right,"point,other","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741948108108108,106.69761081081081,29 Đường số 10,10.7419934,106.6975869,5.673361548867876,332.585323064106,Right,"point,other","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741922162162163,106.69760621621622,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,106.6976409,6.132328786892836,141.83808015770444,Left,"establishment,other,point","10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622; 10.741896216216217, 106.69760162162163; 10.74187027027027, 106.69759702702703; 10.741844324324324, 106.69759243243243; 10.74181837837838, 106.69758783783784"
10.741922162162163,106.69760621621622,"Q7, 11 Đ. số 5",10.7418784,106.6976436,6.352845688341448,139.99393937603992,Left,"other,point","10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622; 10.741896216216217, 106.69760162162163; 10.74187027027027, 106.69759702702703; 10.741844324324324, 106.69759243243243; 10.74181837837838, 106.69758783783784"
10.741922162162163,106.69760621621622,"Q7, 26 Đ. Số 10",10.7420095,106.6976223,9.8691991813457,10.255516502867295,Left,"other,point","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741922162162163,106.69760621621622,27 Đường số 10,10.7419934,106.6975869,8.197550455434088,345.08287273402,Right,"point,other","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741922162162163,106.69760621621622,29 Đường số 10,10.7419934,106.6975869,8.197550455434088,345.08287273402,Right,"point,other","10.742, 106.69762; 10.741974054054054, 106.6976154054054; 10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622"
10.741896216216217,106.69760162162163,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,106.6976409,4.707788934287892,114.29027724510252,Left,"establishment,other,point","10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622; 10.741896216216217, 106.69760162162163; 10.74187027027027, 106.69759702702703; 10.741844324324324, 106.69759243243243; 10.74181837837838, 106.69758783783784"
10.741896216216217,106.69760162162163,"Q7, 11 Đ. số 5",10.7418784,106.6976436,4.995591806084304,113.36356090555569,Left,"other,point","10.741948108108108, 106.69761081081081; 10.741922162162163, 106.69760621621622; 10.741896216216217, 106.69760162162163; 10.74187027027027, 106.69759702702703; 10.741844324324324, 106.69759243243243; 10.74181837837838, 106.69758783783784"
