source_lat,source_lon,poi_name,poi_lat,poi_lon,poi_type,distance
10.742,106.69762,"Q7, 26 Đ. Số 10",10.7420095,,other,
10.742,106.69762,27 Đường số 10,10.7419934,,point,
10.742,106.69762,29 Đường số 10,10.7419934,,point,
10.742,106.69762,"Q7, 26 Đ. Số 10",10.7420095,,other,
10.742,106.69762,27 Đường số 10,10.7419934,,point,
10.742,106.69762,29 Đường số 10,10.7419934,,point,
10.742,106.69762,"Q7, 26 Đ. Số 10",10.7420095,,other,
10.742,106.69762,27 Đường số 10,10.7419934,,point,
10.742,106.69762,29 Đường số 10,10.7419934,,point,
10.741974054054054,106.6976154054054,"Q7, 26 Đ. Số 10",10.7420095,,other,
10.741974054054054,106.6976154054054,27 Đường số 10,10.7419934,,point,
10.741974054054054,106.6976154054054,29 Đường số 10,10.7419934,,point,
10.741948108108108,106.69761081081081,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,,establishment,
10.741948108108108,106.69761081081081,"Q7, 11 Đ. số 5",10.7418784,,other,
10.741948108108108,106.69761081081081,"Q7, 26 Đ. Số 10",10.7420095,,other,
10.741948108108108,106.69761081081081,27 Đường số 10,10.7419934,,point,
10.741948108108108,106.69761081081081,29 Đường số 10,10.7419934,,point,
10.741922162162163,106.69760621621622,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,,establishment,
10.741922162162163,106.69760621621622,"Q7, 11 Đ. số 5",10.7418784,,other,
10.741922162162163,106.69760621621622,"Q7, 26 Đ. Số 10",10.7420095,,other,
10.741922162162163,106.69760621621622,27 Đường số 10,10.7419934,,point,
10.741922162162163,106.69760621621622,29 Đường số 10,10.7419934,,point,
10.741896216216217,106.69760162162163,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,,establishment,
10.741896216216217,106.69760162162163,"Q7, 11 Đ. số 5",10.7418784,,other,
10.74187027027027,106.69759702702703,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,,establishment,
10.74187027027027,106.69759702702703,"Q7, 11 Đ. số 5",10.7418784,,other,
10.741844324324324,106.69759243243243,MITEK TRADING INVESTMENT J.S.C,10.7417594,,establishment,
10.741844324324324,106.69759243243243,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,,establishment,
10.741844324324324,106.69759243243243,"Q7, 11 Đ. số 5",10.7418784,,other,
10.74181837837838,106.69758783783784,MITEK TRADING INVESTMENT J.S.C,10.7417594,,establishment,
10.74181837837838,106.69758783783784,15 Đường số 5,10.7417545,,point,
10.74181837837838,106.69758783783784,Thế giới Cồn Việt Mỹ (VMCGROUP),10.7418788,,establishment,
10.74181837837838,106.69758783783784,17-9 Đường số 5,10.74176460000255,,point,
10.74181837837838,106.69758783783784,"Q7, 11 Đ. số 5",10.7418784,,other,
10.74181837837838,106.69758783783784,"q7, 15 Đ. số 5",10.7417545,,other,
10.741792432432433,106.69758324324324,MITEK TRADING INVESTMENT J.S.C,10.7417594,,establishment,
10.741792432432433,106.69758324324324,15 Đường số 5,10.7417545,,point,
10.741792432432433,106.69758324324324,17-9 Đường số 5,10.74176460000255,,point,
10.741792432432433,106.69758324324324,"q7, 15 Đ. số 5",10.7417545,,other,
10.741766486486487,106.69757864864864,MITEK TRADING INVESTMENT J.S.C,10.7417594,,establishment,
10.741766486486487,106.69757864864864,15 Đường số 5,10.7417545,,point,
10.741766486486487,106.69757864864864,17-9 Đường số 5,10.74176460000255,,point,
10.741766486486487,106.69757864864864,"q7, 15 Đ. số 5",10.7417545,,other,
10.74174054054054,106.69757405405406,MITEK TRADING INVESTMENT J.S.C,10.7417594,,establishment,
10.74174054054054,106.69757405405406,15 Đường số 5,10.7417545,,point,
10.74174054054054,106.69757405405406,17-9 Đường số 5,10.74176460000255,,point,
10.74174054054054,106.69757405405406,"q7, 15 Đ. số 5",10.7417545,,other,
10.741714594594596,106.69756945945946,MITEK TRADING INVESTMENT J.S.C,10.7417594,,establishment,
10.741714594594596,106.69756945945946,15 Đường số 5,10.7417545,,point,
10.741714594594596,106.69756945945946,Công ty Tài Năng Trẻ,10.7416433,,establishment,
10.741714594594596,106.69756945945946,17-9 Đường số 5,10.74176460000255,,point,
10.741714594594596,106.69756945945946,"q7, 15 Đ. số 5",10.7417545,,other,
10.74168864864865,106.69756486486487,MITEK TRADING INVESTMENT J.S.C,10.7417594,,establishment,
10.74168864864865,106.69756486486487,17 Đ. số 5,10.7416382,,other,
10.74168864864865,106.69756486486487,Công ty Tài Năng Trẻ,10.7416433,,establishment,
10.74168864864865,106.69756486486487,17-9 Đường số 5,10.74176460000255,,point,
10.741662702702703,106.69756027027027,17 Đ. số 5,10.7416382,,other,
10.741662702702703,106.69756027027027,Công ty Tài Năng Trẻ,10.7416433,,establishment,
10.741636756756757,106.69755567567567,17 Đ. số 5,10.7416382,,other,
10.741636756756757,106.69755567567567,Công ty Tài Năng Trẻ,10.7416433,,establishment,
10.741610810810812,106.69755108108109,Công Ty Tnhh Thương Mại Và Dịch Vụ Huỳnh Gia Cát,10.7415358,,establishment,
10.741610810810812,106.69755108108109,17 Đ. số 5,10.7416382,,other,
10.741610810810812,106.69755108108109,Công ty Tài Năng Trẻ,10.7416433,,establishment,
10.741610810810812,106.69755108108109,"q7, 33 Đường Số 12",10.7415435,,other,
10.741610810810812,106.69755108108109,33 Đường số 12A,10.7415358,,point,
10.741584864864866,106.69754648648649,Công Ty Tnhh Thương Mại Và Dịch Vụ Huỳnh Gia Cát,10.7415358,,establishment,
10.741584864864866,106.69754648648649,"q7, 33 Đường Số 12",10.7415435,,other,
